date,covid_vaccine_administered
5/10/23,81.4
4/26/23,81.3
4/19/23,81.3
4/12/23,81.4
4/5/23,81.3
3/29/23,81.3
3/22/23,81.3
3/15/23,81.2
3/8/23,81.2
3/1/23,81.2
2/22/23,81.2
2/15/23,81.1
2/8/23,81.1
2/1/23,81
1/25/23,81
1/18/23,81
1/11/23,80.9
1/5/23,80.9
12/28/22,80.8
12/21/22,80.8
12/14/22,80.7
12/7/22,80.6
11/30/22,80.5
11/23/22,80.7
11/16/22,80.6
11/9/22,80.4
11/2/22,80.2
10/26/22,80.1
10/19/22,80
10/12/22,79.9
10/5/22,79.7
9/28/22,79.5
9/21/22,79.5
9/14/22,79.3
9/7/22,79.2
8/31/22,79.2
8/24/22,79.1
8/17/22,79
8/10/22,78.9
8/3/22,78.8
7/27/22,78.8
7/20/22,78.7
7/13/22,78.5
7/6/22,78.4
6/29/22,78.3
6/22/22,78.1
6/16/22,78.1
6/15/22,78.1
6/14/22,78
6/13/22,78
6/12/22,78
6/11/22,78
6/10/22,78
6/9/22,78
6/8/22,78
6/7/22,78
6/6/22,77.9
6/5/22,77.9
6/4/22,77.9
6/3/22,77.9
6/2/22,77.9
6/1/22,77.9
5/31/22,77.9
5/30/22,77.9
5/29/22,77.9
5/28/22,77.9
5/27/22,77.8
5/26/22,77.8
5/25/22,77.8
5/24/22,77.8
5/23/22,77.8
5/22/22,77.8
5/21/22,77.7
5/20/22,77.7
5/19/22,77.7
5/18/22,77.7
5/17/22,77.7
5/16/22,77.7
5/15/22,77.7
5/14/22,77.6
5/13/22,77.6
5/12/22,77.6
5/11/22,77.8
5/10/22,77.8
5/9/22,77.8
5/8/22,77.7
5/7/22,77.7
5/6/22,77.7
5/5/22,77.7
5/4/22,77.7
5/3/22,77.7
5/2/22,77.6
5/1/22,77.6
4/30/22,77.6
4/29/22,77.6
4/28/22,77.6
4/27/22,77.5
4/26/22,77.5
4/25/22,77.5
4/24/22,77.5
4/23/22,77.5
4/22/22,77.4
4/21/22,77.4
4/20/22,77.4
4/19/22,77.4
4/18/22,77.4
4/17/22,77.3
4/16/22,77.3
4/15/22,77.3
4/14/22,77.3
4/13/22,77.3
4/12/22,77.2
4/11/22,77.2
4/10/22,77.2
4/9/22,77.2
4/8/22,77.1
4/7/22,77.1
4/6/22,77.1
4/5/22,77.1
4/4/22,77
4/3/22,77
4/2/22,77
4/1/22,77
3/31/22,77
3/30/22,76.9
3/29/22,76.9
3/28/22,76.9
3/27/22,76.9
3/26/22,76.9
3/25/22,76.8
3/24/22,76.8
3/23/22,76.8
3/22/22,76.8
3/21/22,76.8
3/20/22,76.8
3/19/22,76.8
3/18/22,76.8
3/17/22,76.8
3/16/22,76.7
3/15/22,76.7
3/14/22,76.7
3/13/22,76.7
3/12/22,76.7
3/11/22,76.6
3/10/22,76.6
3/9/22,76.6
3/8/22,76.6
3/7/22,76.5
3/6/22,76.5
3/5/22,76.5
3/4/22,76.5
3/3/22,76.4
3/2/22,76.4
3/1/22,76.4
2/28/22,76.4
2/27/22,76.4
2/26/22,76.3
2/25/22,76.3
2/24/22,76.3
2/23/22,76.3
2/22/22,76.2
2/21/22,76.2
2/20/22,76.2
2/19/22,76.1
2/18/22,76.1
2/17/22,76.1
2/16/22,76
2/15/22,76
2/14/22,75.9
2/13/22,75.9
2/12/22,75.9
2/11/22,75.8
2/10/22,75.8
2/9/22,75.7
2/8/22,75.7
2/7/22,75.7
2/6/22,75.6
2/5/22,75.6
2/4/22,75.5
2/3/22,75.5
2/2/22,75.4
2/1/22,75.4
1/31/22,75.3
1/30/22,75.3
1/29/22,75.2
1/28/22,75.1
1/27/22,75.1
1/26/22,75.8
1/25/22,75.7
1/24/22,75.6
1/23/22,75.5
1/22/22,75.5
1/21/22,75.4
1/20/22,75.3
1/19/22,75.2
1/18/22,75.1
1/17/22,75.1
1/16/22,75
1/15/22,74.9
1/14/22,74.8
1/13/22,74.7
1/12/22,74.6
1/11/22,74.5
1/10/22,74.4
1/9/22,74.3
1/8/22,74.2
1/7/22,74.1
1/6/22,74
1/5/22,73.9
1/4/22,73.8
1/3/22,73.6
1/2/22,73.5
1/1/22,73.5
12/31/21,73.5
12/30/21,73.3
12/29/21,73.2
12/28/21,73.1
12/27/21,73
12/26/21,73
12/25/21,72.9
12/24/21,72.9
12/23/21,72.7
12/22/21,72.8
12/21/21,72.6
12/20/21,72.9
12/19/21,72.8
12/18/21,72.7
