Date,Location,Administered_Cumulative,Administered_Dose1_Pop_Pct,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,Series_Complete_Pop_Pct,Booster_Daily,Booster_Cumulative,Booster_7_Day_Rolling_Average,Additional_Doses_Vax_Pct,Second_Booster_50Plus_Daily,Second_Booster_50Plus_Cumulative,Second_Booster_50Plus_7_Day_Rolling_Average,Second_Booster_50Plus_Vax_Pct,Bivalent_Booster_Daily,Bivalent_Booster_Cumulative,Bivalent_Booster_7_Day_Rolling_Average,Bivalent_Booster_Pop_Pct
5/10/23,US,676728782,81.4,,,54649,230637348,,69.5,74451,118438297,,51.4,68205,36744717,,53,390908,56478510,,17
5/3/23,US,676006980,81.4,,,49503,230582699,,69.5,66774,118363846,,51.3,60269,36676512,,53,343973,56087602,,16.9
4/26/23,US,675442636,81.3,,,48188,230533196,,69.4,62801,118297072,,51.3,48055,36616243,,52.9,244617,55743629,,16.8
4/19/23,US,675024615,81.3,,,17366,230485008,,69.4,224891,118234271,,51.3,102521,36568188,,52.9,-78273,55499012,,16.7
4/12/23,US,674711945,81.4,,,49010,230467642,,69.4,57212,118009380,,51.2,41098,36465667,,52.8,218799,55577285,,16.7
4/5/23,US,674375206,81.3,,,49817,230418632,,69.4,66323,117952168,,51.2,49783,36424569,,52.8,494454,55358486,,16.7
3/29/23,US,674024493,81.3,,,85759,230368815,,69.4,86854,117885845,,51.2,65298,36374786,,52.7,284989,54864032,,16.5
3/22/23,US,673465377,81.3,,,71113,230283056,,69.4,87514,117798991,,51.2,63297,36309488,,52.6,283876,54579043,,16.4
3/15/23,US,673012265,81.2,,,69828,230211943,,69.3,89715,117711477,,51.1,74832,36246191,,52.6,314404,54295167,,16.4
3/8/23,US,672537312,81.2,,,66181,230142115,,69.3,81238,117621762,,51.1,72718,36171359,,52.5,316861,53980763,,16.3
3/1/23,US,672076105,81.2,,,79638,230075934,,69.3,98781,117540524,,51.1,77203,36098641,,52.4,313244,53663902,,16.2
2/22/23,US,671582379,81.2,,,81499,229996296,,69.3,103798,117441743,,51.1,93831,36021438,,52.3,385367,53350658,,16.1
2/15/23,US,670987625,81.1,,,94473,229914797,,69.2,124803,117337945,,51,121700,35927607,,52.2,465571,52965291,,16
2/8/23,US,670306507,81.1,,,101209,229820324,,69.2,121419,117213142,,51,122304,35805907,,52.1,494867,52499720,,15.8
2/1/23,US,669600840,81,,,99360,229719115,,69.2,141357,117091723,,51,145390,35683603,,51.9,567456,52004853,,15.7
1/25/23,US,668814259,81,,,111312,229619755,,69.2,166427,116950366,,50.9,207040,35538213,,51.7,786431,51437397,,15.5
1/18/23,US,667815331,81,,,149381,229508443,,69.1,201274,116783939,,50.9,274664,35331173,,51.5,1072435,50650966,,15.3
1/11/23,US,666511603,80.9,,,104439,229359062,,69.1,317983,116582665,,50.8,365593,35056509,,51.2,1348689,49578531,,14.9
1/5/23,US,665076272,80.9,,,119453,229254623,,69.1,199209,116264682,,50.7,265497,34690916,,50.7,1083487,48229842,,15.4
12/28/22,US,663822575,80.8,,,145424,229135170,,69,253783,116065473,,50.7,354170,34425419,,50.4,1470513,47146355,,15.1
12/21/22,US,662148570,80.8,,,157751,228989746,,69,251421,115811690,,50.6,421075,34071249,,49.9,1521548,45675842,,14.6
12/14/22,US,660400812,80.7,,,227237,228831995,,68.9,380636,115560269,,50.5,597505,33650174,,49.4,2137006,44154294,,14.1
12/7/22,US,657927289,80.6,,,235298,228604758,,68.9,392650,115179633,,50.4,631644,33052669,,48.7,2297845,42017288,,13.5
11/30/22,US,655280140,80.5,,,-20985,228369460,,68.8,555970,114786983,,50.3,603843,32421025,,47.9,2084411,39719443,,12.7
11/23/22,US,653502647,80.7,,,235613,228390445,,68.8,379686,114231013,,50,639172,31817182,,47.1,2362158,37635032,,12.1
11/16/22,US,650810290,80.6,,,352424,228154832,,68.7,578710,113851327,,49.9,984155,31178010,,46.3,3855826,35272874,,11.3
11/9/22,US,646524294,80.4,,,424655,227802408,,68.6,793789,113272617,,49.7,1363739,30193855,,45,5126924,31417048,,10.1
11/2/22,US,640913400,80.2,,,443926,227377753,,68.5,629989,112478828,,49.5,1055013,28830116,,43.2,3469506,26290124,,8.4
10/26/22,US,636871557,80.1,,,339267,226933827,,68.4,480996,111848839,,49.3,978265,27775103,,41.9,3502250,22820618,,7.3
10/19/22,US,632905664,80,,,393805,226594560,,68.2,532068,111367843,,49.1,1173355,26796838,,40.6,4558598,19318368,,6.2
10/12/22,US,627854963,79.9,,,330142,226200755,,68.1,274801,110835775,,49,793057,25623483,,39,14759770,14759770,,5.2
10/5/22,US,624198981,79.7,,,586498,225870613,,68,590442,110560974,,48.9,961178,24830426,,37.9,0,0,,0
9/28/22,US,619765972,79.5,,,303184,225284115,,67.9,392262,109970532,,48.8,751147,23869248,,36.6,0,0,,0
9/21/22,US,616172308,79.5,,,344073,224980931,,67.8,376694,109578270,,48.7,622659,23118101,,35.5,0,0,,0
9/14/22,US,612781120,79.3,,,269167,224636858,,67.7,247888,109201576,,48.6,318732,22495442,,34.7,0,0,,0
9/7/22,US,610686563,79.2,,,254252,224367691,,67.6,146714,108953688,,48.6,152129,22176710,,34.3,0,0,,0
8/31/22,US,610012616,79.2,,,198716,224113439,,67.5,266152,108806974,,48.5,252379,22024581,,34,0,0,,0
8/24/22,US,608937334,79.1,,,229728,223914723,,67.4,323189,108540822,,48.5,341099,21772202,,33.7,0,0,,0
8/17/22,US,607588353,79,,,227825,223684995,,67.4,344895,108217633,,48.4,366446,21431103,,33.2,0,0,,0
8/10/22,US,606162842,78.9,,,421604,223457170,,67.3,382363,107872738,,48.3,495742,21064657,,32.7,0,0,,0
8/3/22,US,604235972,78.8,,,-209997,223035566,,67.2,-433823,107490375,,48.2,633002,20568915,,32,0,0,,0
7/27/22,US,603693871,78.8,,,295369,223245563,,67.2,455472,107924198,,48.3,841047,19935913,,30.9,0,0,,0
7/20/22,US,601497801,78.7,,,267879,222950194,,67.2,464665,107468726,,48.2,848303,19094866,,29.7,0,0,,0
7/13/22,US,599289113,78.5,,,226663,222682315,,67.1,388834,107004061,,48.1,534240,18246563,,28.5,0,0,,0
7/6/22,US,597655035,78.4,0,,184254,222455652,,67,339336,106615227,,47.9,456782,17712323,,27.7,0,0,,0
6/29/22,US,596233489,78.3,0,,148175,222271398,,66.9,1182300,106275891,,47.8,663318,17255541,,27,0,0,,0
6/22/22,US,593739529,78.1,0,,199071,222123223,,66.9,375453,105093591,,47.3,569311,16592223,,26.1,0,0,,0
6/16/22,US,592269252,78.1,0,313249,40820,221924152,46151,66.8,71921,104718138,79701,47.2,106772,16022912,116332,25.3,0,0,0,0
6/15/22,US,591982644,78.1,0,304348,115129,221883332,45177,66.8,149808,104646217,82809,47.2,140458,15916140,123786,25.2,0,0,0,0
6/14/22,US,591406403,78,0,250251,40470,221768203,29807,66.8,77128,104496409,70155,47.1,125165,15775682,120851,25,0,0,0,0
6/13/22,US,591103144,78,0,267396,13076,221727733,31533,66.8,28669,104419281,74098,47.1,39567,15650517,128797,24.8,0,0,0,0
6/12/22,US,590999136,78,0,269866,25664,221714657,31799,66.8,54244,104390612,74684,47.1,83139,15610950,129943,24.7,0,0,0,0
6/11/22,US,590795244,78,0,274368,48194,221688993,32082,66.8,84339,104336368,75607,47.1,148021,15527811,132895,24.6,0,0,0,0
6/10/22,US,590441517,78,0,281116,39710,221640799,32780,66.8,91804,104252029,77014,47,171208,15379790,136333,24.4,0,0,0,0
6/9/22,US,590076511,78,0,264758,33997,221601089,27846,66.7,93671,104160225,74044,47,158944,15208582,134829,24.1,0,0,0,0
6/8/22,US,589852206,78,0,290078,7539,221567092,30935,66.7,61233,104066554,75849,47,119916,15049638,140511,23.9,0,0,0,0
6/7/22,US,589654645,78,0,327761,52556,221559553,38170,66.7,104732,104005321,82942,46.9,180789,14929722,152424,23.7,0,0,0,0
6/6/22,US,589231370,77.9,0,284189,14939,221506997,32778,66.7,32771,103900589,72355,46.9,47586,14748933,133391,23.4,0,0,0,0
6/5/22,US,589110077,77.9,0,284246,27642,221492058,32665,66.7,60701,103867818,72679,46.9,103806,14701347,133727,23.4,0,0,0,0
6/4/22,US,588874667,77.9,0,280326,53080,221464416,32165,66.7,94186,103807117,71368,46.9,172084,14597541,132352,23.2,0,0,0,0
6/3/22,US,588473704,77.9,0,280797,5169,221411336,31550,66.7,71019,103712931,70788,46.8,160682,14425457,135287,22.9,0,0,0,0
6/2/22,US,588223208,77.9,0,316353,55623,221406167,39662,66.7,106302,103641912,75900,46.8,198714,14264775,147009,22.7,0,0,0,0
6/1/22,US,587821662,77.9,0,343662,58184,221350544,42812,66.7,110886,103535610,76904,46.8,203307,14066061,153969,22.4,0,0,0,0
5/31/22,US,587360320,77.9,0,332948,14810,221292360,41535,66.7,30625,103424724,73158,46.7,47560,13862754,150823,22.1,0,0,0,0
5/30/22,US,587242048,77.9,0,398950,14147,221277550,49082,66.6,35034,103394099,86271,46.7,49940,13815194,184782,22,0,0,0,0
5/29/22,US,587120356,77.9,0,405767,24147,221263403,49894,66.6,51525,103359065,86666,46.7,94183,13765254,188530,21.9,0,0,0,0
5/28/22,US,586912385,77.9,0,417846,48772,221239256,51546,66.6,90126,103307540,87574,46.7,192628,13671071,195671,21.8,0,0,0,0
5/27/22,US,586508124,77.8,0,432810,61956,221190484,54177,66.6,106802,103217414,89398,46.7,242737,13478443,204163,21.5,0,0,0,0
5/26/22,US,586008740,77.8,0,398197,77674,221128528,45299,66.6,113336,103110612,83666,46.6,247432,13235706,200057,21.1,0,0,0,0
5/25/22,US,585416027,77.8,0,379842,49240,221050854,44501,66.6,84658,102997276,79665,46.6,181287,12988274,1855467,20.7,0,0,0,0
5/24/22,US,585029684,77.8,0,383083,67644,221001614,45655,66.6,122417,102912618,78845,46.6,285267,12806987,1829569,20.5,0,0,0,0
5/23/22,US,584449398,77.8,0,372595,19828,220933970,45050,66.5,37800,102790201,75196,46.5,76181,12521720,1788817,20,0,0,0,0
5/22/22,US,584279990,77.8,0,372736,35710,220914142,45205,66.5,57879,102752401,74310,46.5,144166,12445539,1777934,19.9,0,0,0,0
5/21/22,US,583987461,77.7,0,372962,67189,220878432,45284,66.5,102900,102694522,73797,46.5,252076,12301373,1757339,19.7,0,0,0,0
5/20/22,US,583478451,77.7,0,366083,-191,220811243,44174,66.5,66678,102591622,71045,46.5,213995,12049297,1721328,19.3,0,0,0,0
5/19/22,US,583221364,77.7,0,386673,72089,220811434,50061,66.5,85327,102524944,73356,46.4,11835302,11835302,1690757,19,0,0,0,0
5/18/22,US,582757136,77.7,0,388308,57322,220739345,64509,66.5,78915,102439617,141153,46.4,0,0,0,0,0,0,0,0
5/17/22,US,582348105,77.7,0,380359,63408,220682023,65486,66.5,96873,102360702,141031,46.4,0,0,0,0,0,0,0,0
5/16/22,US,581841231,77.7,0,371272,20914,220618615,64961,66.4,31601,102263829,139627,46.4,0,0,0,0,0,0,0,0
5/15/22,US,581670838,77.7,0,377228,36262,220597701,65662,66.4,54290,102232228,141113,46.3,0,0,0,0,0,0,0,0
5/14/22,US,581376728,77.6,0,378646,59417,220561439,66797,66.4,83636,102177938,141654,46.3,0,0,0,0,0,0,0,0
5/13/22,US,580915871,77.6,0,381531,41015,220502022,68549,66.4,82856,102094302,142675,46.3,0,0,0,0,0,0,0,0
5/12/22,US,580514653,77.6,0,381535,173229,220461007,69545,66.4,559900,102011446,142799,46.3,0,0,0,0,0,0,0,0
5/11/22,US,580038981,77.8,0,390306,64161,220287778,55051,66.3,78064,101451546,78588,46.1,0,0,0,0,0,0,0,0
5/10/22,US,579685594,77.8,0,392198,59733,220223617,53445,66.3,87045,101373482,77513,46,0,0,0,0,0,0,0,0
5/9/22,US,579242327,77.8,0,405634,25823,220163884,55121,66.3,42000,101286437,80240,46,0,0,0,0,0,0,0,0
5/8/22,US,579030245,77.7,0,411738,44206,220138061,58332,66.3,58082,101244437,82023,46,0,0,0,0,0,0,0,0
5/7/22,US,578726209,77.7,0,422926,71679,220093855,59702,66.3,90784,101186355,83755,46,0,0,0,0,0,0,0,0
5/6/22,US,578245154,77.7,0,426752,47986,220022176,58864,66.3,83719,101095571,83653,45.9,0,0,0,0,0,0,0,0
5/5/22,US,577843905,77.7,0,443561,71773,219974190,60594,66.3,110427,101011852,85820,45.9,0,0,0,0,0,0,0,0
5/4/22,US,577306842,77.7,0,439158,52915,219902417,59861,66.2,70540,100901425,83503,45.9,0,0,0,0,0,0,0,0
5/3/22,US,576940211,77.7,0,479638,71467,219849502,60878,66.2,106134,100830885,85430,45.9,0,0,0,0,0,0,0,0
5/2/22,US,576402886,77.6,0,510461,48304,219778035,58211,66.2,54481,100724751,87761,45.8,0,0,0,0,0,0,0,0
5/1/22,US,576148079,77.6,0,507534,53792,219729731,55919,66.2,70203,100670270,86353,45.8,0,0,0,0,0,0,0,0
4/30/22,US,575765730,77.6,0,511730,65811,219675939,56492,66.2,90071,100600067,87354,45.8,0,0,0,0,0,0,0,0
4/29/22,US,575257890,77.6,0,517329,60100,219610128,57367,66.1,98884,100509996,88724,45.8,0,0,0,0,0,0,0,0
4/28/22,US,574738978,77.6,0,505298,66642,219550028,55710,66.1,94212,100411112,86614,45.7,0,0,0,0,0,0,0,0
4/27/22,US,574232736,77.5,0,535362,60030,219483386,62329,66.1,84025,100316900,93299,45.7,0,0,0,0,0,0,0,0
4/26/22,US,573582745,77.5,0,495853,52799,219423356,60927,66.1,122455,100232875,90995,45.7,0,0,0,0,0,0,0,0
4/25/22,US,572829658,77.5,0,455251,32260,219370557,61885,66.1,44627,100110420,86360,45.6,0,0,0,0,0,0,0,0
4/24/22,US,572595338,77.5,0,456767,57806,219338297,61590,66.1,77205,100065793,86448,45.6,0,0,0,0,0,0,0,0
4/23/22,US,572183620,77.5,0,450102,71932,219280491,60620,66,99660,99988588,85389,45.6,0,0,0,0,0,0,0,0
4/22/22,US,571636588,77.4,0,474656,48504,219208559,66856,66,84117,99888928,88719,45.6,0,0,0,0,0,0,0,0
4/21/22,US,571201893,77.4,0,483401,112976,219160055,64654,66,141006,99804811,93687,45.5,0,0,0,0,0,0,0,0
4/20/22,US,570485199,77.4,0,470903,50218,219047079,60596,66,67896,99663805,89757,45.5,0,0,0,0,0,0,0,0
4/19/22,US,570111773,77.4,0,511387,59500,218996861,67947,66,90011,99595909,99311,45.5,0,0,0,0,0,0,0,0
4/18/22,US,569642898,77.4,0,528138,30196,218937361,72385,65.9,45246,99505898,103184,45.4,0,0,0,0,0,0,0,0
4/17/22,US,569397972,77.3,0,542852,51015,218907165,75624,65.9,69790,99460652,105579,45.4,0,0,0,0,0,0,0,0
4/16/22,US,569032907,77.3,0,552934,115586,218856150,76655,65.9,122970,99390862,106789,45.4,0,0,0,0,0,0,0,0
4/15/22,US,568313997,77.3,0,534538,33088,218740564,72125,65.9,118893,99267892,104865,45.4,0,0,0,0,0,0,0,0
4/14/22,US,567818086,77.3,0,545570,84569,218707476,81694,65.9,113494,99148999,103465,45.3,0,0,0,0,0,0,0,0
4/13/22,US,567188881,77.3,0,542444,101680,218622907,82772,65.8,134779,99035505,103251,45.3,0,0,0,0,0,0,0,0
4/12/22,US,566532062,77.2,0,513808,90564,218521227,80768,65.8,117118,98900726,104662,45.3,0,0,0,0,0,0,0,0
4/11/22,US,565945931,77.2,0,501519,52871,218430663,78313,65.8,62011,98783608,102562,45.2,0,0,0,0,0,0,0,0
4/10/22,US,565598011,77.2,0,501824,58228,218377792,77641,65.8,78258,98721597,103897,45.2,0,0,0,0,0,0,0,0
4/9/22,US,565162367,77.2,0,500371,83875,218319564,77911,65.8,109503,98643339,105480,45.2,0,0,0,0,0,0,0,0
4/8/22,US,564572230,77.1,0,485505,100076,218235689,76097,65.7,109094,98533836,105732,45.2,0,0,0,0,0,0,0,0
4/7/22,US,563999093,77.1,0,453623,92113,218135613,70882,65.7,112000,98424742,107110,45.1,0,0,0,0,0,0,0,0
4/6/22,US,563391773,77.1,0,424670,87650,218043500,69580,65.7,144655,98312742,116724,45.1,0,0,0,0,0,0,0,0
4/5/22,US,562935409,77.1,0,393374,73384,217955850,65269,65.6,102419,98168087,110100,45,0,0,0,0,0,0,0,0
4/4/22,US,562435301,77,0,351244,48162,217882466,62014,65.6,71353,98065668,107595,45,0,0,0,0,0,0,0,0
4/3/22,US,562085242,77,0,315943,60121,217834304,58532,65.6,89340,97994315,103547,45,0,0,0,0,0,0,0,0
4/2/22,US,561659770,77,0,279143,71176,217774183,56109,65.6,111268,97904975,100087,45,0,0,0,0,0,0,0,0
4/1/22,US,561173692,77,0,248189,63572,217703007,55265,65.6,118735,97793707,100018,44.9,0,0,0,0,0,0,0,0
3/31/22,US,560823729,77,0,225928,82996,217639435,52611,65.6,179299,97674972,96533,44.9,0,0,0,0,0,0,0,0
3/30/22,US,560419082,76.9,0,214405,57472,217556439,53081,65.5,98290,97495673,88732,44.8,0,0,0,0,0,0,0,0
3/29/22,US,560181791,76.9,0,218903,50602,217498967,55469,65.5,84880,97397383,88682,44.8,0,0,0,0,0,0,0,0
